Reference,Value,Qty,DNP
C1,100nf,1,
C2,1uF,1,
C3,100nF,1,
"C4,C7",0.1uf,2,
C6,0.1 uf,1,
C8,10uf 25V,1,
C9,100V 1uf,1,
C10,10 uf 25V,1,
D1,12V,1,
D2,LED,1,
F2,100mA 25V,1,
F4,100 mA 25V,1,
J1,HV +,1,
"J2,J3,J4,J5,J6",Conn_01x02_Pin,5,
"Q1,Q2,Q3",BC547,3,
"R1,R2,R3,R4",249K,4,
"R5,R6",26K,2,
"R7,R8",100,2,
R9,30K,1,
R10,24K,1,
R11,2K,1,
R12,1M,1,
R13,2k2,1,
"R14,R15,R17",10K,3,
R16,220K,1,
R18,22K,1,
"R19,R20,R21",1K,3,
U1,LM311,1,
U2,4N35,1,
U3,NE555P,1,
