Reference,Value,Qty,DNP
"C1,C3,C4",10uf,3,
C2,0.1 uf 12 V,1,
"C5,C6,C7,C8",0.1uf,4,
"D1,D2,D3",D,3,
"F1,F2,F3",Polyfuse,3,
"J1,J16",Conn_01x03_Pin,2,
"J2,J4,J9,J12,J15,J19",Conn_01x02_Pin,6,
"J3,J17,J20",Screw_Terminal_01x02,3,
"J5,J11",Conn_01x04_Pin,2,
J18,Analog Voltage Bypass,1,
"R1,R2",4.7K,2,
"R3,R8,R10,R11,R12",10k,5,
"R4,R5,R6",R220,3,
"R7,R9",27k,2,
"U1,U3,U4,U5",~,4,
U2,TLV76133DCY,1,
"U6,U7",LM741,2,
