"Reference","Value","Qty"
"C1","100 V 10uf","1"
"C2,C3,C4,C5,C6","25 V 0.1uf","5"
"D1","12V","1"
"D2","LED","1"
"F1,F2","100 mA","2"
"J1,J4,J5","Conn_01x02_Pin","3"
"J2","HV+","1"
"J3","HV-","1"
"Q1","BC547","1"
"R1,R2","47K","2"
"R3","22K","1"
"R4,R5,R6,R8,R9,R10,R11,R13,R15,R18","1K","10"
"R7,R12,R14,R17","10K","4"
"R16","100","1"
"U1","LM311","1"
"U2","4N35","1"
